market,symbol,currency,shares,avgCost
HK,0001.HK,HKD,50000,40.3
HK,3988.HK,HKD,30000,3.5
HK,0883.HK,HKD,45000,17.59
HK,0006.HK,HKD,55000,50.76
US,OXY,US,1000,44.486
US,KO,US,2000,65.887
US,BRK-B,US,1000,372.79
US,PG,US,1000,146.613
US,SMH,US,3000,127.789
US,TSLA,US,2000,190.276
US,VOO,US,1500,430.608
